"Story","Title","Result","Date","Stability","Duration (s)"
"Serenity/JS Website","offers a web testing tutorial","SUCCESS","2023-12-07T14:27:40.666Z[Etc/UTC]","0.0","1.09"
"Serenity/JS Website","offers examples to help you practice test automation","SUCCESS","2023-12-07T14:27:41.759Z[Etc/UTC]","0.0","2.96"
